Model name,Wins,Points
ga_generation_20_nn_7.keras, 2, 398
ga_generation_20_nn_1.keras, 2, 347
ga_generation_20_nn_3.keras, 0, 270
ga_generation_20_nn_17.keras, 1, 317
ga_generation_20_nn_11.keras, 1, 313
ga_generation_20_nn_6.keras, 2, 372
ga_generation_20_nn_9.keras, 1, 297
ga_generation_20_nn_15.keras, 0, 252
ga_generation_20_nn_16.keras, 1, 322
ga_generation_20_nn_5.keras, 1, 314
ga_generation_20_nn_14.keras, 0, 310
ga_generation_20_nn_19.keras, 2, 377
ga_generation_21_nn_12.keras, 1, 327
ga_generation_21_nn_7.keras, 1, 320
ga_generation_21_nn_20.keras, 0, 256
ga_generation_21_nn_9.keras, 3, 355
ga_generation_21_nn_13.keras, 2, 366
ga_generation_21_nn_19.keras, 1, 307
ga_generation_21_nn_8.keras, 0, 264
ga_generation_21_nn_14.keras, 1, 329
ga_generation_21_nn_18.keras, 0, 239
ga_generation_21_nn_2.keras, 1, 279
ga_generation_21_nn_4.keras, 0, 309
ga_generation_21_nn_16.keras, 1, 349
ga_generation_21_nn_6.keras, 1, 305
ga_generation_21_nn_11.keras, 1, 327
ga_generation_21_nn_17.keras, 2, 434
ga_generation_21_nn_5.keras, 1, 300
ga_generation_21_nn_1.keras, 0, 315
ga_generation_21_nn_15.keras, 1, 348
ga_generation_21_nn_3.keras, 0, 188
ga_generation_21_nn_10.keras, 1, 296
ga_generation_22_nn_20.keras, 0, 252
ga_generation_22_nn_9.keras, 1, 313
ga_generation_22_nn_8.keras, 2, 411
ga_generation_22_nn_3.keras, 2, 344
ga_generation_22_nn_2.keras, 1, 311
ga_generation_22_nn_17.keras, 1, 313
ga_generation_22_nn_12.keras, 1, 335
ga_generation_22_nn_19.keras, 1, 356
ga_generation_22_nn_11.keras, 0, 371
ga_generation_22_nn_18.keras, 0, 197
ga_generation_22_nn_14.keras, 3, 428
ga_generation_22_nn_7.keras, 2, 380
ga_generation_22_nn_5.keras, 2, 314
ga_generation_22_nn_4.keras, 0, 237
ga_generation_22_nn_13.keras, 3, 399
ga_generation_22_nn_10.keras, 2, 343
ga_generation_22_nn_6.keras, 1, 357
ga_generation_22_nn_1.keras, 2, 278
ga_generation_22_nn_16.keras, 1, 289
ga_generation_22_nn_15.keras, 3, 433
ga_generation_23_nn_11.keras, 2, 370
ga_generation_23_nn_19.keras, 2, 363
ga_generation_23_nn_5.keras, 0, 287
ga_generation_23_nn_7.keras, 0, 327
ga_generation_23_nn_16.keras, 0, 309
ga_generation_23_nn_18.keras, 1, 325
ga_generation_23_nn_20.keras, 1, 333
ga_generation_23_nn_3.keras, 1, 351
ga_generation_23_nn_14.keras, 1, 331
ga_generation_23_nn_17.keras, 2, 333
ga_generation_23_nn_10.keras, 0, 282
ga_generation_23_nn_15.keras, 1, 311
ga_generation_23_nn_6.keras, 1, 381
ga_generation_23_nn_4.keras, 0, 294
ga_generation_23_nn_12.keras, 1, 365
ga_generation_23_nn_1.keras, 5, 427
ga_generation_23_nn_9.keras, 1, 315
ga_generation_23_nn_2.keras, 1, 304
ga_generation_23_nn_13.keras, 2, 315
ga_generation_23_nn_8.keras, 2, 341
ga_generation_24_nn_1.keras, 0, 336
ga_generation_24_nn_6.keras, 0, 341
ga_generation_24_nn_7.keras, 0, 396
ga_generation_24_nn_17.keras, 1, 294
ga_generation_24_nn_10.keras, 5, 439
ga_generation_24_nn_16.keras, 2, 318
ga_generation_24_nn_3.keras, 2, 314
ga_generation_24_nn_14.keras, 0, 331
ga_generation_24_nn_2.keras, 2, 344
ga_generation_24_nn_4.keras, 1, 322
ga_generation_24_nn_20.keras, 1, 275
ga_generation_24_nn_19.keras, 2, 389
ga_generation_24_nn_15.keras, 1, 313
ga_generation_24_nn_18.keras, 3, 373
ga_generation_24_nn_5.keras, 1, 252
ga_generation_24_nn_9.keras, 1, 315
ga_generation_24_nn_11.keras, 1, 323
ga_generation_24_nn_8.keras, 0, 273
ga_generation_24_nn_12.keras, 1, 354
ga_generation_24_nn_13.keras, 1, 342
ga_generation_25_nn_16.keras, 2, 354
ga_generation_25_nn_10.keras, 0, 278
ga_generation_25_nn_7.keras, 1, 270
ga_generation_25_nn_17.keras, 1, 319
ga_generation_25_nn_2.keras, 1, 290
ga_generation_25_nn_20.keras, 0, 294
ga_generation_25_nn_14.keras, 1, 319
ga_generation_25_nn_18.keras, 1, 339
ga_generation_25_nn_15.keras, 1, 289
ga_generation_25_nn_1.keras, 1, 270
ga_generation_25_nn_12.keras, 1, 319
ga_generation_25_nn_8.keras, 0, 275
ga_generation_25_nn_13.keras, 1, 305
ga_generation_25_nn_6.keras, 1, 300
ga_generation_25_nn_4.keras, 1, 270
ga_generation_25_nn_19.keras, 2, 312
ga_generation_25_nn_11.keras, 1, 350
ga_generation_25_nn_5.keras, 2, 375
ga_generation_25_nn_9.keras, 1, 324
