Model name,Wins,Points
ga_generation_17_nn_16.keras, 0, 297
ga_generation_18_nn_16.keras, 2, 411
ga_generation_16_nn_9.keras, 0, 313
ga_generation_18_nn_13.keras, 1, 331
ga_generation_17_nn_8.keras, 0, 228
ga_generation_18_nn_9.keras, 2, 323
ga_generation_17_nn_10.keras, 0, 228
ga_generation_18_nn_14.keras, 3, 399
ga_generation_18_nn_11.keras, 0, 242
ga_generation_18_nn_12.keras, 0, 295
ga_generation_17_nn_7.keras, 1, 305
ga_generation_18_nn_8.keras, 1, 296
ga_generation_18_nn_15.keras, 0, 304
ga_generation_16_nn_16.keras, 0, 316
ga_generation_18_nn_10.keras, 0, 273
ga_generation_18_nn_7.keras, 2, 367
ga_generation_18_nn_13.keras, 3, 406
ga_generation_19_nn_7.keras, 1, 336
ga_generation_19_nn_10.keras, 1, 288
ga_generation_19_nn_13.keras, 2, 314
ga_generation_19_nn_16.keras, 0, 343
ga_generation_18_nn_14.keras, 1, 361
ga_generation_19_nn_15.keras, 1, 386
ga_generation_19_nn_12.keras, 1, 267
ga_generation_18_nn_9.keras, 3, 443
ga_generation_18_nn_16.keras, 3, 387
ga_generation_18_nn_7.keras, 4, 440
ga_generation_19_nn_11.keras, 0, 295
ga_generation_19_nn_8.keras, 2, 352
ga_generation_17_nn_7.keras, 0, 327
ga_generation_19_nn_14.keras, 0, 347
ga_generation_19_nn_9.keras, 2, 436
ga_generation_20_nn_11.keras, 0, 257
ga_generation_18_nn_16.keras, 0, 253
ga_generation_20_nn_10.keras, 0, 289
ga_generation_18_nn_13.keras, 1, 291
ga_generation_20_nn_12.keras, 0, 297
ga_generation_18_nn_7.keras, 1, 271
ga_generation_20_nn_9.keras, 0, 324
ga_generation_18_nn_9.keras, 2, 393
ga_generation_19_nn_9.keras, 1, 323
ga_generation_20_nn_13.keras, 2, 336
ga_generation_20_nn_16.keras, 0, 287
ga_generation_20_nn_15.keras, 1, 341
ga_generation_19_nn_8.keras, 2, 327
ga_generation_20_nn_7.keras, 0, 308
ga_generation_20_nn_8.keras, 2, 308
ga_generation_20_nn_14.keras, 0, 292
ga_generation_19_nn_8.keras, 1, 312
ga_generation_21_nn_13.keras, 1, 353
ga_generation_21_nn_12.keras, 2, 394
ga_generation_20_nn_15.keras, 0, 274
ga_generation_21_nn_16.keras, 1, 328
ga_generation_21_nn_9.keras, 0, 294
ga_generation_21_nn_11.keras, 2, 313
ga_generation_18_nn_9.keras, 1, 284
ga_generation_20_nn_13.keras, 2, 341
ga_generation_21_nn_7.keras, 0, 261
ga_generation_21_nn_8.keras, 1, 279
ga_generation_21_nn_14.keras, 1, 317
ga_generation_21_nn_15.keras, 1, 332
ga_generation_21_nn_10.keras, 1, 341
ga_generation_19_nn_9.keras, 1, 242
ga_generation_20_nn_8.keras, 0, 308
ga_generation_21_nn_11.keras, 2, 342
ga_generation_22_nn_12.keras, 2, 339
ga_generation_21_nn_13.keras, 2, 414
ga_generation_22_nn_9.keras, 0, 234
ga_generation_22_nn_13.keras, 0, 246
ga_generation_22_nn_7.keras, 1, 350
ga_generation_20_nn_13.keras, 0, 312
ga_generation_22_nn_16.keras, 1, 287
ga_generation_22_nn_10.keras, 1, 352
ga_generation_22_nn_8.keras, 2, 362
ga_generation_21_nn_10.keras, 0, 282
ga_generation_21_nn_12.keras, 3, 371
ga_generation_22_nn_15.keras, 0, 239
ga_generation_22_nn_14.keras, 0, 255
ga_generation_21_nn_15.keras, 1, 337
ga_generation_22_nn_11.keras, 1, 357
